indicator,pillar,source_organization,source_publication,edition_year,url,notes
data_protection,Pillar 1: Regulatory Safeguards,UNCTAD,Cyberlaw Tracker: Data Protection and Privacy Legislation Worldwide,2025,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Binary presence scored 0-10; cross-validated with national gazette records
ai_strategy,Pillar 1: Regulatory Safeguards,OECD,OECD AI Policy Observatory - National AI Strategies,2025,https://oecd.ai/en/dashboards/policy-areas,Scored 0-10 based on strategy existence and implementation stage
cybercrime_law,Pillar 1: Regulatory Safeguards,UNCTAD,Cyberlaw Tracker: Cybercrime Legislation Worldwide,2025,https://unctad.org/page/cybercrime-legislation-worldwide,Scored 0-10 based on legislative comprehensiveness
malabo_ratification,Pillar 1: Regulatory Safeguards,African Union,AU Treaty Status - Malabo Convention Ratification Tracker,2025,https://au.int/en/treaties/african-union-convention-cyber-security-and-personal-data-protection,Binary: 10 if ratified; 5 if signed but not ratified; 0 if neither
dpa_active,Pillar 2: Enforcement Capacity,National DPA Portals,Desk coding from Data Protection Authority official websites,2025,Various national DPA portals,Scored 0-10 based on operational activity and enforcement actions reported
ai_safety_body,Pillar 2: Enforcement Capacity,OECD / National Governments,OECD AI Policy Observatory + national AI strategy documents,2025,https://oecd.ai,Scored 0-10 based on existence and mandate scope of dedicated AI oversight body
standards_agency,Pillar 2: Enforcement Capacity,ISO / National Standards Bodies,ISO Member Body Listings + national bureaus of standards websites,2025,https://www.iso.org/members.html,Scored 0-10 based on AI/ICT standards engagement and ISO participation
ethical_review_process,Pillar 2: Enforcement Capacity,National Governments,National AI strategy documents and research ethics frameworks,2025,Various government portals,Scored 0-10 based on existence of formal algorithmic or AI ethics review processes
local_datacenters,Pillar 3: Infrastructure Sovereignty,Cloudscene,Cloudscene Global Data Center Directory,2025,https://www.cloudscene.com,Scored 0-10 based on number and capacity of carrier-neutral data centers
broadband_penetration,Pillar 3: Infrastructure Sovereignty,ITU,World Telecommunication/ICT Indicators Database (WTID),2024,https://datahub.itu.int,Fixed broadband subscriptions per 100 inhabitants; data year 2023
localized_nlp_resources,Pillar 3: Infrastructure Sovereignty,Masakhane / Desk Coding,Masakhane NLP Project Resource Tracker + academic corpus surveys,2025,https://www.masakhane.io,Scored 0-10 based on availability of indigenous language NLP datasets and tools
cybersecurity_index,Pillar 3: Infrastructure Sovereignty,ITU,Global Cybersecurity Index (GCI) 4th Edition,2024,https://www.itu.int/en/ITU-D/Cybersecurity/Pages/global-cybersecurity-index.aspx,Normalized score 0-100; measures legal/technical/organizational/capacity/cooperation
ai_education_programs,Pillar 4: Talent and Civic Space,UNESCO,UNESCO Institute for Statistics + university program desk coding,2025,https://uis.unesco.org,Scored 0-10 based on AI/ML degree programs and research output
digital_literacy,Pillar 4: Talent and Civic Space,ITU / World Bank,ITU Digital Development Dashboard + World Bank Digital Adoption Index,2024,https://datahub.itu.int,Scored 0-10; composite of digital skills indicators
civic_space_index,Pillar 4: Talent and Civic Space,V-Dem Institute,Varieties of Democracy Dataset v14 - Digital Society Survey,2024,https://www.v-dem.net/data/the-v-dem-dataset/,V-Dem civil liberties index rescaled 0-100; measures freedom of digital rights advocacy
gender_inclusion_stem,Pillar 4: Talent and Civic Space,UNESCO,UNESCO Institute for Statistics - STEM Enrollment by Gender,2024,https://uis.unesco.org,Scored 0-10 based on female share of STEM tertiary enrollment
gdp_per_capita,Validation Variable,World Bank,World Development Indicators (WDI),2025,https://data.worldbank.org/indicator/NY.GDP.PCAP.CD,Current USD; data year 2024 estimates
ai_adoption_index,Validation Variable,Tortoise Media,The Global AI Index,2025,https://www.tortoisemedia.com/intelligence/global-ai/,Composite adoption score rescaled 0-100
ai_investment_usd_m,Validation Variable,Stanford HAI,AI Index Annual Report,2025,https://aiindex.stanford.edu/report/,Private AI investment in USD millions; data year 2024
ict_development_index,Validation Variable,ITU,ICT Development Index (IDI),2024,https://www.itu.int/en/ITU-D/Statistics/Pages/IDI/default.aspx,Composite ICT development score rescaled 0-100
